procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        63992      3014592        20716       768844    0    0     0 89732 2006 1431   1   1  98   0   0 2018-11-21 02:12:23
 0  0        63992      3014864        20716       768844    0    0     0 134059 3676 2320   1   1  98   0   0 2018-11-21 02:12:26
 0  0        63992      3014660        20724       768844    0    0     0 114436 3402 1999   1   1  98   0   0 2018-11-21 02:12:29
 0  0        63992      3014964        20724       768848    0    0     0 89344 2553 1687   1   1  98   0   0 2018-11-21 02:12:32
 0  0        63992      3014868        20732       768848    0    0     0 135368 8083 2400   1   2  97   0   0 2018-11-21 02:12:35
 0  0        63992      3014924        20732       768848    0    0     0 101077 2899 1788   1   1  98   0   0 2018-11-21 02:12:38
 0  0        63992      3015172        20740       768848    0    0     0 102927 3272 1844   1   1  98   0   0 2018-11-21 02:12:41
 0  0        63992      3015228        20740       768848    0    0     0 133547 3364 2301   1   1  98   0   0 2018-11-21 02:12:44
 1  0        63992      3014508        20748       768852    0    0     0 116149 2954 1979   1   2  97   0   0 2018-11-21 02:12:47
 0  0        63992      3015120        20748       768852    0    0     0 87552 2040 1477   1   1  98   0   0 2018-11-21 02:12:50
 0  0        63992      3015144        20756       768856    0    0     0 137476 6372 2397   1   2  97   0   0 2018-11-21 02:12:53
 0  0        63992      3015252        20756       768860    0    0     0 98695 2657 1790   1   1  98   0   0 2018-11-21 02:12:56
 0  0        63992      3015268        20764       768860    0    0     0 102404 2647 1837   1   1  98   0   0 2018-11-21 02:12:59
 0  0        63988      3015112        20764       768952    1    0    31 143061 3850 2475   1   1  98   0   0 2018-11-21 02:13:02
 0  0        63988      3015416        20772       768956    0    0     0 154467 4180 2657   1   1  98   0   0 2018-11-21 02:13:05
