seconds,utilization (KB),
5178,23491408,
5181,23956500,
5184,24176528,
5187,24826984,
5190,25750064,
5193,26525932,
5196,27327392,
5199,27709588,
5202,28073856,
5205,23839420,
5208,23280652,
5211,23935536,
5214,24235900,
5217,24767660,
5220,25361200,
5223,25746016,
5226,26294540,
5229,27085912,
5232,27670940,
5235,28251076,
5238,28274712,
5241,29009828,
5244,29449280,
5247,25703272,
5250,26073128,
5253,26528232,
5256,26840724,
5259,26726312,
5262,25800544,
5265,25626148,
5268,25879256,
5271,25972872,
5274,25858772,
5277,26164612,
5280,26249960,
5283,25942556,
5286,26075444,
5289,26325188,
5292,26705992,
5295,26464552,
5298,26960968,
5301,27168724,
5304,27510204,
5307,27956756,
5310,27938136,
5313,27527400,
5316,27907912,
5319,27896892,
5322,28238628,
5325,27632360,
5328,28118172,
5331,27933900,
5334,27517160,
5337,27713728,
5340,28521472,
5343,28597924,
