procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        47372      3177540        26980       637856    0    0     0 201021 4373 3469   1   2  97   0   0 2019-03-21 16:19:37
 1  0        47372      3177664        26980       637856    0    0     0 296917 6124 4807   1   2  97   0   0 2019-03-21 16:19:40
 0  0        47372      3177664        26988       637860    0    0     0 293512 6048 4826   1   2  97   0   0 2019-03-21 16:19:43
 1  0        47372      3177756        26996       637848    0    0     0 296585 6209 4974   1   2  96   0   0 2019-03-21 16:19:46
 0  0        47372      3177424        26996       637848    0    0     0 296277 6367 4969   2   3  95   0   0 2019-03-21 16:19:49
 1  0        47372      3177696        27008       637864    0    0     3 289653 6123 4880   1   2  96   0   0 2019-03-21 16:19:52
 1  0        47372      3177696        27008       637864    0    0     0 166571 3550 2735   1   1  98   0   0 2019-03-21 16:19:55
 0  0        47372      3177712        27016       637868    0    0     0 293215 6010 4752   1   2  97   0   0 2019-03-21 16:19:58
 0  0        47372      3177836        27016       637868    0    0     0 293337 6079 4808   1   2  96   0   0 2019-03-21 16:20:01
 0  0        47372      3177316        27024       637868    0    0     0 162067 3842 2829   1   2  98   0   0 2019-03-21 16:20:04
 0  0        47372      3177252        27024       637868    0    0     0 164608 13202 12052   1   2  97   1   0 2019-03-21 16:20:07
 0  0        47372      3177252        27032       637872    0    0     0 104768 2721 1991   1   1  98   0   0 2019-03-21 16:20:10
 0  0        47372      3177292        27032       637876    0    0     0 102101 2154 1635   1   1  98   0   0 2019-03-21 16:20:13
 1  0        47372      3177020        27040       637880    0    0     0 112735 2431 1927   1   1  98   0   0 2019-03-21 16:20:16
 1  0        47372      3169532        27048       638032    0    0     0 123572 3348 2373   2   2  97   0   0 2019-03-21 16:20:19
 1  0        47372      3177440        27048       637880    0    0     0 102789 3968 3297   1   1  98   0   0 2019-03-21 16:20:22
 0  0        47372      3177992        27060       637884    0    0     0 120311 3070 2195   1   1  98   0   0 2019-03-21 16:20:25
 0  0        47372      3178056        27060       637884    0    0     0 114688 2355 1855   1   1  98   0   0 2019-03-21 16:20:28
 0  0        47372      3177824        27068       637892    0    0     0 102793 2150 1732   1   1  98   0   0 2019-03-21 16:20:31
 0  0        47372      3177488        27068       638020    0    0     0 118997 2559 2019   1   1  98   0   0 2019-03-21 16:20:34
 0  0        47372      3177536        27076       638020    0    0     0 115176 2454 2029   1   1  98   0   0 2019-03-21 16:20:37
 0  0        47372      3177304        27076       638020    0    0     0 117547 2456 1882   1   1  98   0   0 2019-03-21 16:20:40
 2  0        47372      3176640        27084       638020    0    0     0 93037 11459 10670   1   2  95   2   0 2019-03-21 16:20:43
 0  0        47372      3176872        27092       638024    0    0     0 131220 2737 2153   1   1  98   0   0 2019-03-21 16:20:46
 0  0        47372      3176888        27092       638028    0    0     0 95189 2129 1602   1   1  98   0   0 2019-03-21 16:20:49
 0  0        47372      3176896        27104       638028    0    0     0 126155 3258 2477   2   2  96   0   0 2019-03-21 16:20:52
 0  0        47372      3176564        27104       638032    0    0     0 110208 2407 1816   1   1  98   0   0 2019-03-21 16:20:55
 0  0        47372      3176664        27112       638004    0    0     0 96308 2301 1757   1   1  98   0   0 2019-03-21 16:20:58
 0  0        47372      3176944        27112       638008    0    0     0 102101 2072 1623   1   1  98   0   0 2019-03-21 16:21:01
 0  0        47372      3176944        27120       638008    0    0     0 131727 3039 2370   1   1  98   0   0 2019-03-21 16:21:04
 0  0        47372      3176612        27120       638008    0    0     0 102229 2201 1648   1   1  98   0   0 2019-03-21 16:21:07
 0  0        47372      3176572        27128       638008    0    0     0 101812 2043 1630   1   1  98   0   0 2019-03-21 16:21:10
 0  0        47372      3176564        27128       638012    0    0     0 132017 2912 2294   1   1  98   0   0 2019-03-21 16:21:13
 1  1        47372      3176272        27136       638012    0    0     0 113739 2995 2122   1   1  98   0   0 2019-03-21 16:21:16
 1  0        47372      3176804        27136       638020    0    0     0 90319 13887 13067   1   2  97   1   0 2019-03-21 16:21:19
 0  0        47372      3177196        27148       638024    0    0     0 132487 6558 5898   2   2  96   0   0 2019-03-21 16:21:22
 0  0        47372      3177600        27148       638024    0    0     0 111317 2508 1911   1   1  98   0   0 2019-03-21 16:21:25
 0  0        47372      3177536        27156       638020    0    0     0 90596 2135 1622   1   1  98   0   0 2019-03-21 16:21:28
 0  0        47372      3176760        27156       638024    0    0     0 127189 2749 2138   1   1  98   0   0 2019-03-21 16:21:31
 0  0        47372      3176956        27164       638032    0    0     0 106121 2795 2024   1   1  99   0   0 2019-03-21 16:21:34
 0  0        47372      3176828        27172       638032    0    0     0 101643 2389 1817   1   1  98   0   0 2019-03-21 16:21:37
 0  0        47372      3176728        27172       638036    0    0     0 130603 3000 2250   1   1  98   0   0 2019-03-21 16:21:40
 0  0        47372      3176520        27180       638036    0    0     0 111363 18542 17381   1   2  97   1   0 2019-03-21 16:21:43
 0  0        47372      3176712        27180       638036    0    0     0 92203 2280 1553   1   1  99   0   0 2019-03-21 16:21:46
 0  0        47372      3176828        27188       638040    0    0     0 128436 2993 2256   1   1  98   0   0 2019-03-21 16:21:49
 1  0        47372      3176988        27188       638044    0    0     0 113280 2714 2015   2   2  97   0   0 2019-03-21 16:21:52
 0  0        47372      3177136        27200       638044    0    0     0 94283 2540 1744   1   1  98   0   0 2019-03-21 16:21:55
 0  0        47372      3177100        27200       638116    0    0     0 126464 3076 2117   1   1  98   0   0 2019-03-21 16:21:58
 0  0        47372      3177160        27208       638116    0    0     0 107359 2518 1951   1   1  98   0   0 2019-03-21 16:22:01
 0  0        47372      3176828        27208       638104    0    0     0 115925 2412 1905   1   1  98   0   0 2019-03-21 16:22:04
 2  0        47372      3176820        27216       638104    0    0     0 86756 1838 1461   1   1  98   0   0 2019-03-21 16:22:07
 0  0        47372      3177124        27216       638104    0    0     0 136875 2896 2284   1   1  98   0   0 2019-03-21 16:22:10
 0  0        47372      3176760        27224       638116    0    0     0 98491 2293 1874   1   1  98   0   0 2019-03-21 16:22:13
 0  0        47372      3176672        27224       638116    0    0     0 102571 2192 1660   1   1  98   0   0 2019-03-21 16:22:16
 0  0        47372      3176876        27232       638116    0    0     0 132548 25552 24212   1   3  95   1   0 2019-03-21 16:22:19
 2  0        47372      3176944        27232       638116    0    0     0 102280 3826 3053   2   3  95   0   0 2019-03-21 16:22:22
