procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0         9076      3048080        22792       739192    0    0     0 103253 2350 1814   1   1  98   0   0 2018-11-26 00:00:45
 0  0         9076      3048152        22800       739192    0    0     0 133039 3130 2312   1   1  98   0   0 2018-11-26 00:00:48
 0  0         9076      3048772        22800       739192    0    0     0 103253 2326 1801   1   1  98   0   0 2018-11-26 00:00:51
 0  0         9076      3048844        22808       739196    0    0     0 126468 2847 2163   1   1  98   0   0 2018-11-26 00:00:54
 0  0         9076      3048260        22808       739196    0    0     0 112813 2515 1898   1   2  98   0   0 2018-11-26 00:00:57
 0  0         9076      3048432        22816       739196    0    0     0 97987 2651 1613   1   1  98   0   0 2018-11-26 00:01:00
 3  0         9076      3048200        22816       739196    0    0     0 126251 2720 2103   1   1  98   0   0 2018-11-26 00:01:03
 0  0         9076      3047508        22824       739196    0    0     0 113344 3059 2013   1   1  98   0   0 2018-11-26 00:01:06
 1  0         9076      3045848        22828       740972    0    0   517 98475 2341 1828   1   1  98   0   0 2018-11-26 00:01:09
 0  0         9076      3045972        22836       740752    0    0     0 106041 2606 1885   1   1  98   0   0 2018-11-26 00:01:12
 0  0         9076      3046072        22836       740756    0    0     0 129152 2672 2109   1   2  97   0   0 2018-11-26 00:01:15
 0  0         9076      3046104        22844       740760    0    0     0 102745 2302 1716   1   1  98   0   0 2018-11-26 00:01:18
 0  0         9076      3045584        22844       740776    0    0     0 109483 2316 1828   1   1  98   0   0 2018-11-26 00:01:21
 0  0         9076      3045552        22852       740776    0    0     0 134532 2836 2165   1   1  98   0   0 2018-11-26 00:01:24
 0  0         9076      3045568        22852       740780    0    0     0 95019 1956 1455   1   1  98   0   0 2018-11-26 00:01:27
